"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치년도,관리기관명,관리기관전화번호,데이터기준일자
F9400,17,제주시,04,1132번,도령로,02,제주특별자치도 제주시 도령로 198 신제주입구 교차로,제주시 연동 1767-1 7호광장,33.49758111,126.49676220,신제주입구 교차로,02,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9401,17,제주시,04,1132번,일주서로,02,제주특별자치도 제주시 일주서로 7719 도두입구 3가,제주시 도두1동 2308-3,33.49401321,126.47065170,도두입구 3가,02,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9402,17,제주시,04,1132번,일주서로,01,제주특별자치도 제주시 애월읍 일주서로 7040 미수동포구 입구,제주시 애월읍 하귀2리 1775-5 미수동포구 입구,33.48275498,126.40255700,미수동포구 입구,01,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9403,17,서귀포시,04,1132번,일주동로,01,제주특별자치도 서귀포시 표선면 일주동로 5699 하천교차로,서귀포시 표선면 하천리 150-1,33.33586557,126.84144290,일주동로 하천교차로,02,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9404,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 남원읍 일주동로 7890 공천포교차로,서귀포시 남원읍 신례리 53-3 공천포 교차로,33.26693551,126.64235860,공천포교차로,02,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9405,17,서귀포시,04,1132번,일주도로,02,제주특별자치도 서귀포시 하신상로 1 하효중앙사거리,서귀포시 하효동 642-1 하효중앙사거리,33.26070967,126.61737120,하효중앙사거리,02,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9406,17,서귀포시,04,1132번,일주서로,01,제주특별자치도 서귀포시 토평남로 86 휴펜션 앞,서귀포시 하원동 1379-3 휴펜션 앞,33.25307478,126.45353110,휴펜션 앞,01,70,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9407,17,서귀포시,04,1115번,산록남로,03,제주특별자치도 서귀포시 안덕면 산록남로 863 산삼연구소 입구,서귀포시 안덕면 상천리 545-4 산삼연구소 입구,33.31353217,126.39210830,산삼연구소 입구,01,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9688,17,제주시,04,97번,번영로,02,제주특별자치도 제주시 번영로 484 봉개초등학교 앞 사거리,제주시 봉개동 1932-2 봉개초등학교 앞 사거리,33.49104081,126.59323660,봉개초등학교 앞 사거리,02,50,,,02,2017,제주지방경찰청,064-798-3052,2019-09-19
F9689,17,제주시,04,97번,번영로,01,제주특별자치도 제주시 번영로 222 부록마을 입구 교차로,제주시 화북2동 2764-2 부록마을 입구 교차로,33.50193288,126.56869340,부록마을 입구 교차로,02,70,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9690,17,서귀포시,04,1132번,일주서로,01,제주특별자치도 서귀포시 대정읍 대한로88번길 82-22 대정여고 앞 사거리,서귀포시 대정읍 하모리 1389-5 대정여고 앞 사거리,33.22843587,126.25270610,대정여고 앞 사거리,02,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9691,17,서귀포시,05,제297호선,서문로,02,제주특별자치도 서귀포시 서문로 1 중앙로터리,서귀포시 서귀동 336 중앙로터리,33.25256697,126.56109740,서귀포 중앙로터리,02,50,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9692,17,제주시,04,1132번,일주서로,02,제주특별자치도 제주시 한림읍 일주서로 5379 한림2리 입구,제주시 한림읍 한림리 854-3 한림2리 입구,33.40785256,126.27226640,한림2리 입구,01,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9693,17,제주시,04,1132번,조천우회로,01,제주특별자치도 제주시 조천읍 조천우회로 525 함덕에덴빌리지 앞,제주시 조천읍 함덕리 1748-4 함덕에덴빌리지 앞,33.53040107,126.66569730,함덕에덴빌리지 앞,01,70,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9694,17,서귀포시,04,1132번,일주서로,01,제주특별자치도 서귀포시 일주서로 1282 상예2동 정류장 앞,서귀포시 상예동 4629-1 상예2동 정류장 앞,33.26439093,126.37743940,상예2동 정류장 앞,01,60,,,01,2017,제주지방경찰청,064-798-3052,2019-09-19
F9695,17,서귀포시,04,1132번,일주동로,01,제주특별자치도 서귀포시 표선면 하천로 11 화석박물관 입구 서측,서귀포시 표선면 하천리 291-1 화석박물관 입구 서측,33.33960640,126.84448710,화석박물관 입구 서측,01,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9737,17,서귀포시,04,1135번,평화로,01,제주특별자치도 서귀포시 안덕면 평화로 1228 광평교차로 동측,서귀포시 안덕면 광평리 산 123-5 광평교차로 동측,33.33804486,126.35612130,광평교차로 동측,01,80,01,13.8,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9738,17,서귀포시,04,1135번,평화로,01,제주특별자치도 서귀포시 안덕면 평화로 1228 광평교차로 동측,서귀포시 안덕면 광평리 산 123-5 광평교차로 동측,33.33804486,126.35612130,광평교차로 동측,01,80,01,13.8,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9739,17,제주시,04,1135번,평화로,01,제주특별자치도 제주시 애월읍 광령평화2길 1 제주공룡랜드 입구,제주시 애월읍 광평리 2670-1 제주공룡랜드 입구,33.44058760,126.42932420,제주공룡랜드 입구,01,80,02,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9740,17,제주시,04,1135번,평화로,01,제주특별자치도 제주시 애월읍 광령평화2길 1 제주공룡랜드 입구,제주시 애월읍 광령리 2670-1 제주공룡랜드 입구,33.44059655,126.42933490,제주공룡랜드 입구,01,80,02,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9796,17,서귀포시,04,제323호선,동홍로,02,제주특별자치도 서귀포시 동홍로303번길 14 남주중고교 입구,서귀포시 동홍동 944-1 남주중고교 입구,33.27463316,126.56725410,남주중고교 입구,02,50,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
F9797,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 일주동로 8374,서귀포시 토평동 240-1 토평초교 입구,33.25917381,126.59318970,신효교 뒤,02,70,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
G0041,17,서귀포시,04,1132번,일주서로,03,제주특별자치도 서귀포시 일주서로 1222 중문 SP리조트 맞은편,서귀포시 상예동 3700 중문 SP리조트 앞,33.26398761,126.38227610,중문 SP리조트 맞은편,01,70,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
G0042,17,서귀포시,04,1132번,일주서로,02,제주특별자치도 서귀포시 천제연로 355 중문입구 삼거리,서귀포시 회수동 597-1 중문입구 삼거리,33.25244989,126.44363330,중문입구 삼거리,02,70,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
G0043,17,서귀포시,04,1136번,중산간동로,03,제주특별자치도 서귀포시 중산간동로 8178 샘터어린이집 앞,서귀포시 서홍동 1780-1 샘터어린이집 앞,33.26278785,126.54264820,샘터어린이집 앞,01,50,,,02,2017,제주지방경찰청,064-798-3052,2019-09-19
G0044,17,서귀포시,04,1115번,산록남로,03,제주특별자치도 서귀포시 산록남로 2271 치유의 숲 앞,서귀포시 호근동 산 4 치유의 숲 앞,33.29043301,126.52968690,서귀포 치유의 숲 앞,01,60,,,,2017,제주지방경찰청,064-798-3052,2019-09-19
G0162,17,제주시,04,1132번,일주동로,02,제주특별자치도 제주시 일주동로 61 제주교대 앞,제주시 화북2동 4942-8 제주교대 앞,33.51328213,126.55359240,제주교대 앞,01,50,,,02,2018,제주지방경찰청,064-798-3052,2019-09-19
G0163,17,제주시,04,1132번,일주동로,01,제주특별자치도 제주시 구좌읍 한평길 19 계룡동 입구,제주시 구좌읍 평대리 1903-2 계룡동 입구,33.53379116,126.83414070,계룡동 입구,01,60,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0164,17,제주시,05,중로1012,남광로,02,제주특별자치도 제주시 남광로 181 대유대림아파트 앞,제주시 일도2동 115 대유대림아파트 앞,33.50060499,126.55206850,대유대림아파트 앞,01,60,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0165,17,제주시,04,1132번,일주서로,01,제주특별자치도 제주시 일주서로 7618 오도마을 입구,제주시 이호2동 780-1,33.49505368,126.46034200,오도마을 입구,01,60,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0166,17,서귀포시,04,1132번,일주서로,01,제주특별자치도 서귀포시 안덕면 덕수서로 10 덕수초교 입구,서귀포시 안덕면 덕수리 3004 덕수초교 입구,33.25072172,126.30392660,덕수초교 입구,01,50,,,02,2018,제주지방경찰청,064-798-3052,2019-09-19
G0174,17,제주시,05,대로3021,오라로,01,제주특별자치도 제주시 오라로1길 4 남문종합상사 북측,제주시 오라3동 2326-1 남문종합상사 북측,33.49905580,126.50688640,남문종합상사 북측,01,50,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0323,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 성산읍 고성중앙로 89 성산 홍마트 앞 사거리,서귀포시 성산읍 고성리 1135-12 성산 홍마트 앞 사거리,33.45016470,126.91195770,성산 홍마트 앞 사거리,02,50,,,02,2018,제주지방경찰청,064-798-3052,2019-09-19
G0324,17,제주시,04,97번,번영로,01,제주특별자치도 제주시 조천읍 번영로 1338 대흘교차로,제주시 조천읍 대흘리 1209-3 대흘교차로,33.46892170,126.67798970,대흘교차로,02,70,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0325,17,제주시,04,97번,번영로,01,제주특별자치도 제주시 조천읍 남조로 2343-9 남조로 교차로,제주시 조천읍 와흘리 125-3 남조로 교차로,33.46985851,126.65971080,남조로 교차로,02,70,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0475,17,서귀포시,04,1131번,5.16로,02,제주특별자치도 서귀포시 516로 155 토평사거리,서귀포시 토평동 2269-3 토평사거리,33.26734876,126.58530630,토평사거리,02,60,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0527,17,서귀포시,04,1131번,5.16로,02,제주특별자치도 서귀포시 516로 465 영천슈퍼 앞,서귀포시 상효동 1288-13 영천슈퍼 앞,33.29260887,126.59450600,영천슈퍼 앞,01,60,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0528,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 동홍로 50 동홍사거리,서귀포시 동홍동 447-5 동홍사거리,33.25466598,126.56748010,동홍사거리,02,60,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0529,17,서귀포시,04,1132번,일주서로,01,제주특별자치도 서귀포시 법환동 12-3 LH주공2단지 앞,서귀포시 법환동 12-3 LH주공2단지 앞,33.24758238,126.52000500,LH주공2단지 앞,01,70,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0530,17,서귀포시,04,1132번,일주서로,02,제주특별자치도 서귀포시 중문로 77 중문입구 사거리,서귀포시 중문동 1352-8 중문입구 사거리,33.25827779,126.42712180,중문입구 사거리,02,70,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0584,17,제주시,05,대로1001,연삼로,02,제주특별자치도 제주시 신대로 45 마리나 호텔 앞 사거리,제주시 연동 155-2 마리나 호텔 앞 사거리,33.49373995,126.49653740,마리나 호텔 앞 사거리,02,60,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0585,17,제주시,04,1132번,일주동로,01,제주특별자치도 제주시 조천읍 신촌남8길 53-2 인수물교차로,제주시 조천읍 신촌리 1657-4 인수물교차로,33.52613642,126.62341120,인수물교차로,02,70,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0586,17,제주시,04,97번,번영로,02,제주특별자치도 제주시 구좌읍 비자림로 1224 대천교차로,제주시 구좌읍 송당리 2635-6 대천교차로,33.43565566,126.73606240,대천교차로,02,60,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0587,17,서귀포시,04,1116번,한창로,02,제주특별자치도 서귀포시 안덕면 창천중앙로 62 네거리슈퍼 앞,서귀포시 안덕면 창천리 73-2 네거리슈퍼 앞,33.26820294,126.36946440,네거리슈퍼 앞,01,60,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0588,17,제주시,04,1132번,일주동로,02,제주특별자치도 제주시 조천읍 일주동로 906 영창공업사 앞,제주시 조천읍 조천리 2281-1 영창공업사 앞,33.53323633,126.63798570,영창공업사 앞,01,60,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0589,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 성산읍 일주동로4120번길 23-20 코델리아호텔 앞,서귀포시 성산읍 오조리 998-1 코델리아호텔 앞,33.45465648,126.91132330,코델리아호텔 앞,01,50,,,02,2018,제주지방경찰청,064-798-3052,2019-09-19
G0669,17,제주시,04,1131번,중앙로,01,제주특별자치도 제주시 인다8길 5 아라동주민센타 앞,제주시 아라1동 6174 아라동주민센타 앞,33.47635228,126.54467610,아라동주민센타 앞,02,50,,,02,2018,제주지방경찰청,064-798-3052,2019-09-19
G0670,17,제주시,05,대로1001,연삼로,02,제주특별자치도 제주시 태성로 6 동광초교 입구 사거리,제주시 일도2동 115-13 동광초교 입구 사거리,33.50260943,126.54763190,동광초교 입구 사거리,02,60,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G0671,17,제주시,05,중로1017,우평로,02,제주특별자치도 제주시 우정로11길 22 외도부영아파트 앞,제주시 외도1동 646-1 외도부영아파트 앞,33.48416008,126.43265630,외도부영아파트 앞,01,50,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G1309,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 남원읍 일주동로 6736 삼덕교차로,서귀포시 남원읍 태흥리 121-4 삼덕교차로,33.29398121,126.75839110,삼덕교차로,02,50,,,01,2018,제주지방경찰청,064-798-3052,2019-09-19
G1647,17,서귀포시,04,1118번,남조로,02,제주특별자치도 서귀포시 표선면 남조로 1487-73 사려니 숲길 입구,서귀포시 표선면 가시리 산 158-1 붉은오름 입구,33.39534317,126.68503680,사려니 숲길 입구 서귀포 방면,01,60,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G1681,17,서귀포시,04,1115번,산록남로,02,제주특별자치도 서귀포시 1100로 506 구탐라대학교 사거리 동측,서귀포시 하원동 산 72-5 구 탐라대입구 사거리 동측,33.29057153,126.46244640,구탐라대학교 사거리 동측,01,60,01,8.7,,2018,제주지방경찰청,064-798-3052,2019-09-19
G1682,17,서귀포시,04,1115번,산록남로,02,제주특별자치도 서귀포시 지장샘로 331 산록남로교차로 서측,서귀포시 동홍동 2151-1 산록남로교차로 서측,33.29163426,126.55467680,산록남로교차로 서측,01,60,02,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G1683,17,서귀포시,04,1115번,산록남로,01,제주특별자치도 서귀포시 지장샘로 331 산록남로교차로 서측,서귀포시 동홍동 2151-1 산록남로교차로 서측,33.29170600,126.55466180,산록남로교차로 서측,01,60,01,8.7,,2018,제주지방경찰청,064-798-3052,2019-09-19
G1684,17,서귀포시,04,1115번,산록남로,01,제주특별자치도 서귀포시 1100로 564 구탐라대학교 사거리 동측,서귀포시 하원동 산 72-5 구 탐라대입구 사거리 동측,33.29067018,126.46241960,구탐라대학교 사거리 동측,01,60,02,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G1685,17,서귀포시,04,1132번,일주도로,01,제주특별자치도 서귀포시 일주동로 9057 수모루 교차로,서귀포시 서호동 142-4 수모루 교차로,33.24696246,126.52519780,수모루 교차로,02,70,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G1686,17,서귀포시,04,1132번,일주동로,01,제주특별자치도 서귀포시 일주동로 8881 용당교차로,서귀포시 호근동 663-4 용당교차로,33.25494330,126.54086190,용당교차로,02,70,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G1687,17,서귀포시,04,1132번,일주도로,01,제주특별자치도 서귀포시 일주동로 9217 서귀포 이마트 앞 삼거리,서귀포시 법환동 816-9 서귀포 이마트 앞 삼거리,33.24934019,126.50804240,서귀포 이마트 앞 삼거리,02,70,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G1688,17,서귀포시,04,1136번,중산간동로,01,제주특별자치도 서귀포시 중산간동로 8028 서홍사거리,서귀포시 동홍동 1580-6 서홍사거리,33.26408520,126.55891310,서홍사거리,02,50,,,,2018,제주지방경찰청,064-798-3052,2019-09-19
G1777,17,제주시,04,1132번,일주서로,02,제주특별자치도 제주시 한림읍 금능남로 127 금능사거리,제주시 한림읍 금능리 2207-2 금능사거리,33.38218819,126.23564260,금능사거리,02,70,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G1778,17,제주시,04,1132번,일주서로,02,제주특별자치도 제주시 한림읍 한림중앙로 116 동명사거리,제주시 한림읍 동명리 1537-7 동명사거리,33.40482409,126.26924130,동명사거리,02,70,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G1891,17,제주시,04,1135번,평화로,02,제주특별자치도 제주시 애월읍 하광로 540-66 광령4교차로 남측,제주시 애월읍 광령리 2844-3,33.44067383,126.42908350,광령4교차로 남측,01,80,01,15.3,,2019,제주지방경찰청,064-798-3052,2019-09-19
G1892,17,서귀포시,04,1135번,평화로,02,제주특별자치도 서귀포시 안덕면 평화로 1078 동광교차로 입구,서귀포시 안덕면 동광리 산41-1,33.32455070,126.35202370,동광교차로 입구,01,80,02,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G1946,17,제주시,05,중로1019,용해로,01,제주특별자치도 제주시 용해로 129 상고지빌라 남측,제주시 용담2동 774-2,33.50622346,126.50617020,상고지빌라 남측,01,50,01,1,,2019,제주지방경찰청,064-798-3052,2019-09-19
G1947,17,제주시,05,중로1019,용해로,01,제주특별자치도 제주시 용담로 3 제주출입국 외국인청 앞,제주시 용담3동 973-1,33.51435498,126.50268330,제주출입국 외국인청 앞,01,50,02,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2001,17,제주시,05,대로3003,오남로,01,제주특별자치도 제주시 오남로 221 한라도서관 앞,제주시 오라2동 899-7,33.47595839,126.51461920,한라도서관 앞,01,50,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2002,17,제주시,04,1139번,1100로,01,제주특별자치도 제주시 1100로 제주고 앞 삼거리,제주시 노형동 768,33.47323335,126.48436920,제주고 앞 삼거리,01,60,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2003,17,제주시,05,대로1001,애조로,02,제주특별자치도 제주시 애월읍 애조로 405 하귀장례식장 앞,제주시 애월읍 광령리 3674-1,33.47272770,126.42631550,하귀장례식장 앞,01,80,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2004,17,제주시,05,대로1009,연북로,01,제주특별자치도 제주시 구산로 4 롯데시네마 앞 사거리,제주시 아라1동,33.48455358,126.53599150,롯데시네마 앞 사거리,02,70,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2005,17,제주시,05,대로1001,연삼로,02,제주특별자치도 제주시 오라로10길 6 오라동주민센터 입구,제주시 오라2동 1208-1,33.49296003,126.51142270,오라동주민센터 입구,01,60,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2006,17,서귀포시,04,1132번,일주서로,01,제주특별자치도 서귀포시 대정읍 추사로55번길 6-1 보성초등학교 입구 교차로,서귀포시 대정읍 인성리 368-13,33.24763989,126.27670190,보성초등학교 입구 교차로,02,60,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2007,17,제주시,04,1132번,일주동로,01,제주특별자치도 제주시 일주동로 341 대성공인중개사 앞,제주시 삼양2동 2407-3,33.52140793,126.58127740,대성공인중개사 앞,02,60,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2008,17,제주시,04,1132번,일주동로,02,제주특별자치도 제주시 조천읍 북선로 100-12 북촌서교차로,제주시 조천읍 북촌리 1830-2,33.53141615,126.68649510,북촌서교차로,01,70,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2009,17,제주시,04,97번,번영로,02,제주특별자치도 제주시 번영로 316 화물차공영차고지 앞,제주시 영평동 311-3,33.49693704,126.58071420,화물차공영차고지 앞,01,70,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2010,17,제주시,05,대로1002,임항로,01,제주특별자치도 제주시 임항로 242 금아빌라 앞,제주시 건입동 711 금아빌라 앞,33.51824155,126.54037380,금아빌라 앞,01,60,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2011,17,서귀포시,04,97번,번영로,02,제주특별자치도 서귀포시 표선면 번영로 3262 해안경비단 앞,서귀포시 표선면 하천리 1508-4,33.35731954,126.82273530,해안경비단 앞,01,70,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2012,17,서귀포시,04,1132번,일주동로,01,제주특별자치도 서귀포시 성산읍 일주동로 4330 성산읍사무소 앞,서귀포시 성산읍 고성리 937-5,33.44199435,126.91188120,성산읍사무소 앞,01,60,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2013,17,제주시,04,1132번,일주서로,02,제주특별자치도 제주시 애월읍 일주서로 6412-1 고내리교차로,제주시 애월읍 고내리 648-4,33.46324973,126.33999130,고내리교차로,02,70,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2014,17,제주시,04,1132번,일주서로,02,제주특별자치도 제주시 한경면 판포1길 6 판포삼거리,제주시 한경면 판포리 2869-5,33.36485122,126.19985120,판포삼거리,01,60,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2015,17,제주시,05,국도대체도로,애조로,01,제주특별자치도 제주시 1100로 3114 노형교차로,제주시 노형동 177-4,33.46381808,126.48509340,노형교차로,02,80,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2016,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 남원읍 일주동로 6618 신흥교차로,서귀포시 남원읍 신흥리 168-11,33.30108240,126.76735300,신흥교차로,02,60,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2017,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 표선명 일주동로6246-1,서귀포시 표선면 세화리 255-2,33.30696913,126.80444260,세화2리 정류장 앞,01,60,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2018,17,제주시,04,1132번,일주동로,01,제주특별자치도 제주시 구좌읍 일주동로 3685-1 종달교차로,제주시 구좌읍 종달리 1670-5,33.49725018,126.89286430,종달교차로,02,70,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2019,17,제주시,04,1136번,노형로,02,제주특별자치도 제주시 서광로 58 제주한라대학 입구 교차로,제주시 노형동 3766,33.48068787,126.47194520,제주한라대학 입구 교차로,02,60,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2020,17,제주시,04,1132번,서광로,01,제주특별자치도 제주시 서광로 58 거북이주유소 앞,제주시 오라3동 2595-5,33.49892323,126.50193770,거북이주유소 앞,01,60,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2021,17,서귀포시,04,97번,번영로,02,제주특별자치도 서귀포시 표선면 한마음초등로 487 하천교차로,서귀포시 표선면 하천리 1247-1,33.35304039,126.82347020,번영로 하천교차로,02,70,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2204,17,서귀포시,04,1136번,중산간동로,02,제주특별자치도 서귀포시 토상로 76 상효1동 마을회관 앞,서귀포시 상효동 915-1,33.27284483,126.59663040,상효1동 마을회관 앞,01,50,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2205,17,서귀포시,05,제323호선,동홍로,02,제주특별자치도 서귀포시 동홍로 270 한라석재 앞,서귀포시 동홍동 954-2,33.27224832,126.56925040,한라석재 앞,01,50,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2235,17,제주시,04,1132번,일주동로,02,제주특별자치도 제주시 조천읍 일주동로 1488번지 북촌초등학교 맞은편,제주시 조천읍 북촌리 1256-3,33.54719977,126.69280370,북촌초등학교 맞은편,02,50,,,02,2019,제주지방경찰청,064-798-3052,2019-09-19
G2236,17,제주시,04,1132번,일주동로,02,제주특별자치도 제주시 구좌읍 일주동로 3378 하도초교 앞,제주시 구좌읍 하도리 2321-3,33.51787482,126.87770980,하도초교 앞,01,50,,,02,2019,제주지방경찰청,064-798-3052,2019-09-19
G2237,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 성산읍 일주동로 5556 신천리 교차로,서귀포시 성산읍 신천리 596-4,33.34662800,126.85156360,신천리 교차로,02,50,,,02,2019,제주지방경찰청,064-798-3052,2019-09-19
G2238,17,제주시,05,아라동 5232,첨단로,01,제주특별자치도 제주시 아봉로 306 영평마을입구,제주시 영평동 1921-8,33.47304093,126.56995850,영평마을입구,01,60,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2391,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 표선면 민속해안로97번길 30 표선교차로,서귀포시 표선면 표선리 2954,33.33295024,126.82896330,표선교차로,02,70,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
G2392,17,서귀포시,04,1132번,일주동로,02,제주특별자치도 서귀포시 성산읍 일주동로 5464 고망난돌펜션앞 교차로,서귀포시 성산읍 신천리 97-3,33.35291941,126.85849450,고망난돌펜션앞 교차로,02,70,,,,2019,제주지방경찰청,064-798-3052,2019-09-19
